Date,VLY,R2000,Rentabilidad_VLY,Rentabilidad_R2000,Mkt-RF,SMB,HML,RF,Market Premium,VLY Premium
2017-06-01,8.006389617919922,1415.3599853515625,0.0459148719908712,0.032419921091938,0.0079,0.022099999999999998,0.015,0.0006,0.031819921091938,0.0453148719908712
2017-07-01,8.127921104431152,1425.1400146484375,0.0150652590222203,0.0068861594392547,0.018799999999999997,-0.014499999999999999,-0.0023,0.0007000000000000001,0.0061861594392546996,0.0143652590222203
2017-08-01,7.655843734741211,1405.280029296875,-0.0598359410295246,-0.0140334727530764,0.0018,-0.0167,-0.0213,0.0009,-0.0149334727530764,-0.0607359410295246
2017-09-01,8.24422836303711,1490.8599853515625,0.0740441200388995,0.0591165328005352,0.024900000000000002,0.044500000000000005,0.0315,0.0009,0.0582165328005352,0.0731441200388995
2017-10-01,7.946332454681396,1502.530029296875,-0.0368028673912402,0.0077972486134667,0.0226,-0.019299999999999998,0.0013,0.0009,0.0068972486134667,-0.0377028673912402
2017-11-01,8.222729682922363,1544.1400146484375,0.0341917363894384,0.027316757105198,0.031200000000000002,-0.006,-0.0009,0.0008,0.026516757105198,0.033391736389438396
2017-12-01,7.752858161926269,1535.510009765625,-0.0588406616923981,-0.0056045507795594,0.0106,-0.0132,0.0005,0.0009,-0.0065045507795594,-0.0597406616923981
2018-01-01,8.770085334777832,1574.97998046875,0.1232849661777693,0.0253799816092969,0.0558,-0.0316,-0.0132,0.0011,0.0242799816092969,0.12218496617776929
2018-02-01,8.7003173828125,1512.449951171875,-0.0079870308639161,-0.0405117411422498,-0.0364,0.0027,-0.011000000000000001,0.0011,-0.041611741142249796,-0.0090870308639161
2018-03-01,8.693342208862305,1529.4300537109375,-0.0008020364302678,0.0111643318483088,-0.0235,0.0405,-0.0021,0.0012,0.0099643318483088,-0.0020020364302678
2018-04-01,8.82960319519043,1541.8800048828125,0.0155526060011769,0.0081073021786637,0.0027,0.0109,0.0053,0.0014000000000000002,0.0067073021786637,0.0141526060011769
2018-05-01,8.942172050476074,1633.6099853515625,0.0126684429928878,0.057789826624131,0.026600000000000002,0.0524,-0.031400000000000004,0.0014000000000000002,0.056389826624131,0.0112684429928878
2018-06-01,8.555216789245605,1643.0699462890625,-0.0442372706706554,0.0057741295568803,0.0049,0.0111,-0.0233,0.0014000000000000002,0.0043741295568803,-0.0456372706706554
2018-07-01,8.267679214477539,1670.800048828125,-0.0341874050469593,0.016736172416226,0.032,-0.0223,0.0049,0.0016,0.015136172416225998,-0.0357874050469593
2018-08-01,8.551545143127441,1740.75,0.0337581424911279,0.0410134719752378,0.0345,0.011399999999999999,-0.0391,0.0016,0.039413471975237806,0.0321581424911279
2018-09-01,7.983808994293213,1696.5699462890625,-0.0686963699529658,-0.0257075206875739,0.0006,-0.0229,-0.016200000000000003,0.0015,-0.027207520687573903,-0.0701963699529658
2018-10-01,7.148772716522217,1511.4100341796875,-0.1104749212286657,-0.1155655215737511,-0.0765,-0.047,0.0338,0.0019,-0.1174655215737511,-0.1123749212286657
2018-11-01,7.750471115112305,1533.27001953125,0.0808129366305704,0.0143597097851692,0.0171,-0.0073,0.0036,0.0018,0.012559709785169201,0.07901293663057041
2018-12-01,6.360832214355469,1348.56005859375,-0.197594410458928,-0.1283653224253253,-0.0955,-0.0231,-0.0192,0.0019,-0.13026532242532532,-0.19949441045892802
2019-01-01,7.323933124542236,1499.4200439453125,0.1409882756631998,0.1060409960358352,0.0837,0.0276,-0.0039000000000000003,0.0021,0.10394099603583519,0.1388882756631998
2019-02-01,7.649925231933594,1575.550048828125,0.0435483784185334,0.0495260526847446,0.0342,0.020499999999999997,-0.026600000000000002,0.0018,0.0477260526847446,0.0417483784185334
2019-03-01,6.939988136291504,1539.739990234375,-0.0973958091380617,-0.022990883998883,0.011000000000000001,-0.030299999999999997,-0.0414,0.0019,-0.024890883998883,-0.0992958091380617
2019-04-01,7.673844814300537,1591.2099609375,0.1005177043011861,0.0328811438933224,0.0397,-0.0174,0.0213,0.0021,0.030781143893322396,0.0984177043011861
2019-05-01,7.1905694007873535,1465.489990234375,-0.0650474073194663,-0.0823050576819444,-0.0692,-0.0126,-0.0245,0.0021,-0.08440505768194441,-0.0671474073194663
2019-06-01,7.893515110015869,1566.5699462890625,0.0932711881921637,0.066698830858783,0.0699,0.0011,-0.0064,0.0018,0.06489883085878301,0.09147118819216371
2019-07-01,8.258614540100098,1574.6099853515625,0.0452152920186309,0.0051191315335243,0.0123,-0.0196,0.005,0.0019,0.0032191315335243003,0.0433152920186309
2019-08-01,7.777602195739746,1494.8399658203125,-0.0600087526168205,-0.0519884584256702,-0.0255,-0.0239,-0.04769999999999999,0.0016,-0.0535884584256702,-0.0616087526168205
2019-09-01,8.044010162353516,1523.3699951171875,0.0336796456305321,0.0189058279261869,0.0141,-0.0097,0.0676,0.0018,0.017105827926186902,0.0318796456305321
2019-10-01,8.654577255249023,1562.449951171875,0.0731606081878457,0.025330088100471,0.0207,0.0027,-0.0192,0.0015,0.023830088100471,0.0716606081878457
2019-11-01,8.654577255249023,1624.5,0.0,0.0389450052616099,0.0387,0.0072,-0.02,0.0012,0.0377450052616099,-0.0012
2019-12-01,8.557416915893555,1668.469970703125,-0.0112899609909209,0.0267069451397453,0.0277,0.0076,0.0173,0.0014000000000000002,0.025306945139745303,-0.012689960990920901
2020-01-01,7.945973396301269,1614.06005859375,-0.0741330731272758,-0.0331542410866909,-0.0011,-0.031,-0.0622,0.0013,-0.0344542410866909,-0.07543307312727579
2020-02-01,7.017809867858887,1476.4300537109375,-0.1242141246001417,-0.0891257321373237,-0.0815,0.0108,-0.0382,0.0012,-0.0903257321373237,-0.1254141246001417
2020-03-01,5.516149044036865,1153.0999755859375,-0.2407712048476373,-0.2471731014203611,-0.13369999999999999,-0.046900000000000004,-0.1383,0.0012,-0.24837310142036112,-0.24197120484763732
